study_hours,attendance_percentage,sleep_hours,previous_exam_score,internet_access,parental_education,extracurricular_activity,part_time_job,motivation_level,final_score
6.5,85.0,7.0,72,Yes,Graduate,Yes,No,High,78
4.0,70.0,6.5,58,No,High School,No,Yes,Low,54
7.5,92.0,8.0,85,Yes,Postgraduate,Yes,No,High,90
3.0,60.0,5.5,45,No,Primary,No,Yes,Low,42
5.5,78.0,7.0,67,Yes,High School,Yes,No,Medium,68
8.0,95.0,7.5,90,Yes,Postgraduate,Yes,No,High,94
2.5,55.0,6.0,40,No,Primary,No,Yes,Low,38
6.0,82.0,7.0,70,Yes,Graduate,No,No,Medium,72
4.5,68.0,6.5,55,No,High School,Yes,Yes,Low,50
7.0,88.0,8.0,80,Yes,Graduate,Yes,No,High,84
5.0,75.0,7.0,63,Yes,High School,No,No,Medium,65
3.5,63.0,6.0,48,No,Primary,No,Yes,Low,44
8.5,97.0,8.5,92,Yes,Postgraduate,Yes,No,High,96
2.0,50.0,5.5,35,No,Primary,No,Yes,Low,32
6.5,83.0,7.5,74,Yes,Graduate,Yes,No,High,80
4.0,71.0,6.0,57,No,High School,No,Yes,Medium,53
7.5,90.0,8.0,83,Yes,Postgraduate,Yes,No,High,88
3.0,62.0,5.5,46,No,Primary,No,Yes,Low,40
5.5,77.0,7.0,66,Yes,High School,Yes,No,Medium,67
8.0,94.0,7.5,89,Yes,Postgraduate,Yes,No,High,93
,73.0,6.5,60,Yes,High School,No,No,Medium,62
6.0,81.0,7.0,69,Yes,Graduate,Yes,No,Medium,74
4.5,67.0,6.5,54,No,High School,Yes,Yes,Low,49
7.0,87.0,8.0,79,Yes,Graduate,No,No,High,83
5.0,74.0,7.0,62,Yes,High School,No,No,Medium,64
3.5,64.0,6.0,49,No,Primary,No,Yes,Low,45
8.5,96.0,8.5,91,Yes,Postgraduate,Yes,No,High,95
2.0,51.0,5.5,36,No,Primary,No,Yes,Low,33
6.5,84.0,7.5,75,Yes,Graduate,Yes,No,High,81
4.0,72.0,6.0,58,No,High School,No,Yes,Medium,54
7.5,91.0,8.0,84,Yes,Postgraduate,Yes,No,High,89
3.0,,5.5,47,No,Primary,No,Yes,Low,41
5.5,76.0,7.0,65,Yes,High School,Yes,No,Medium,66
8.0,93.0,7.5,88,Yes,Postgraduate,Yes,No,High,92
2.5,56.0,6.0,41,No,Primary,No,Yes,Low,37
6.0,80.0,7.0,68,Yes,Graduate,No,No,Medium,71
4.5,69.0,6.5,56,No,High School,Yes,Yes,Low,51
7.0,86.0,8.0,78,Yes,Graduate,Yes,No,High,82
5.0,73.0,7.0,61,Yes,High School,No,No,Medium,63
3.5,65.0,6.0,50,No,Primary,No,Yes,Low,46
8.5,,8.5,93,Yes,Postgraduate,Yes,No,High,97
2.0,52.0,5.5,37,No,Primary,No,Yes,Low,34
6.5,85.0,7.5,76,Yes,Graduate,Yes,No,High,82
4.0,,6.0,59,No,High School,No,Yes,Medium,55
7.5,92.0,8.0,85,Yes,Postgraduate,Yes,No,High,90
3.0,62.0,5.5,47,No,Primary,No,Yes,Low,41
5.5,78.0,7.0,67,Yes,High School,Yes,No,Medium,68
8.0,95.0,7.5,90,Yes,Postgraduate,Yes,No,High,94
